,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000858.SZ,20231031,157.5,157.65,155.02,156.0,156.6,-0.6,-0.3831,144978.63,2261223.857
1,000858.SZ,20231030,155.95,158.36,155.0,156.6,152.99,3.61,2.3596,274030.19,4289723.343
2,000858.SZ,20231027,150.57,153.55,150.16,152.99,151.05,1.94,1.2843,170653.9,2603681.374
3,000858.SZ,20231026,148.0,151.2,147.8,151.05,149.34,1.71,1.145,146177.28,2187779.863
4,000858.SZ,20231025,146.95,151.0,146.95,149.34,144.05,5.29,3.6723,254421.54,3792234.58
5,000858.SZ,20231024,143.76,144.99,141.7,144.05,143.75,0.3,0.2087,167073.89,2395874.813
6,000858.SZ,20231023,143.64,145.81,142.4,143.75,143.7,0.05,0.0348,120292.29,1727517.066
7,000858.SZ,20231020,143.0,145.93,142.57,143.7,144.25,-0.55,-0.3813,133164.38,1920618.082
8,000858.SZ,20231019,148.0,148.0,143.96,144.25,149.24,-4.99,-3.3436,217384.92,3161472.147
9,000858.SZ,20231018,149.98,151.32,149.18,149.24,150.41,-1.17,-0.7779,101105.2,1516335.019
10,000858.SZ,20231017,150.14,151.24,148.56,150.41,150.14,0.27,0.1798,107201.76,1610282.34
11,000858.SZ,20231016,153.08,153.4,149.71,150.14,153.63,-3.49,-2.2717,152366.13,2299307.44
12,000858.SZ,20231013,154.5,154.5,152.01,153.63,155.73,-2.1,-1.3485,142933.86,2189951.711
13,000858.SZ,20231012,155.25,156.0,154.21,155.73,153.7,2.03,1.3208,137972.15,2144168.262
14,000858.SZ,20231011,154.57,155.23,153.36,153.7,153.41,0.29,0.189,99121.97,1526531.427
15,000858.SZ,20231010,155.49,156.58,153.06,153.41,154.27,-0.86,-0.5575,127175.3,1965311.404
16,000858.SZ,20231009,156.09,156.09,151.8,154.27,156.1,-1.83,-1.1723,153573.35,2365643.872
17,000858.SZ,20230928,156.59,157.38,155.68,156.1,156.59,-0.49,-0.3129,123857.23,1933102.453
18,000858.SZ,20230927,156.66,158.65,156.0,156.59,156.65,-0.06,-0.0383,132812.01,2083949.327
19,000858.SZ,20230926,158.88,159.47,156.65,156.65,158.9,-2.25,-1.416,125015.74,1969171.205
20,000858.SZ,20230925,159.76,159.88,158.6,158.9,159.92,-1.02,-0.6378,105364.95,1676603.466
21,000858.SZ,20230922,157.0,160.31,156.7,159.92,157.66,2.26,1.4335,154319.92,2451918.127
22,000858.SZ,20230921,159.0,159.5,157.52,157.66,159.84,-2.18,-1.3639,129454.75,2046008.259
23,000858.SZ,20230920,160.2,161.0,159.7,159.84,160.91,-1.07,-0.665,87123.6,1394723.511
24,000858.SZ,20230919,162.01,162.2,159.5,160.91,162.8,-1.89,-1.1609,113674.16,1824120.706
25,000858.SZ,20230918,159.0,163.01,158.01,162.8,159.71,3.09,1.9348,162983.17,2634257.628
26,000858.SZ,20230915,162.07,163.04,159.3,159.71,162.0,-2.29,-1.4136,177555.46,2846912.333
27,000858.SZ,20230914,163.65,164.23,161.03,162.0,163.65,-1.65,-1.0082,130473.23,2115828.262
28,000858.SZ,20230913,164.0,165.39,162.45,163.65,162.98,0.67,0.4111,131147.21,2150208.87
29,000858.SZ,20230912,163.4,164.06,162.61,162.98,164.35,-1.37,-0.8336,89428.28,1459902.261
30,000858.SZ,20230911,161.0,165.31,160.15,164.35,161.92,2.43,1.5007,160682.74,2625927.003
31,000858.SZ,20230908,162.26,162.7,160.5,161.92,163.1,-1.18,-0.7235,104972.11,1695834.401
32,000858.SZ,20230907,165.0,165.17,162.9,163.1,165.69,-2.59,-1.5632,118861.06,1947052.986
33,000858.SZ,20230906,165.06,166.45,164.0,165.69,165.72,-0.03,-0.0181,130492.65,2155900.998
34,000858.SZ,20230905,167.8,168.23,165.24,165.72,167.93,-2.21,-1.316,190550.24,3170571.173
35,000858.SZ,20230904,161.6,168.0,161.6,167.93,159.74,8.19,5.1271,464964.59,7710567.732
36,000858.SZ,20230901,157.0,159.96,157.0,159.74,155.91,3.83,2.4565,232386.72,3701951.294
37,000858.SZ,20230831,157.82,157.83,155.83,155.91,157.82,-1.91,-1.2102,220018.37,3443917.303
38,000858.SZ,20230830,159.4,160.12,157.6,157.82,159.4,-1.58,-0.9912,225986.63,3580879.5
39,000858.SZ,20230829,156.0,160.1,155.33,159.4,157.49,1.91,1.2128,238731.76,3780207.169
40,000858.SZ,20230828,168.01,168.99,157.01,157.49,161.55,-4.06,-2.5132,545770.7,8739965.733
41,000858.SZ,20230825,161.02,162.77,160.55,161.55,162.26,-0.71,-0.4376,116301.71,1877818.205
42,000858.SZ,20230824,160.08,163.5,159.21,162.26,160.01,2.25,1.4062,175895.45,2842412.944
43,000858.SZ,20230823,162.05,162.14,160.0,160.01,162.15,-2.14,-1.3198,146839.0,2360128.006
44,000858.SZ,20230822,162.62,163.5,160.48,162.15,161.97,0.18,0.1111,156920.86,2538910.286
45,000858.SZ,20230821,162.18,164.36,161.38,161.97,163.53,-1.56,-0.954,164506.64,2676283.338
46,000858.SZ,20230818,168.42,168.68,163.5,163.53,168.44,-4.91,-2.915,279479.53,4605753.431
47,000858.SZ,20230817,165.9,168.61,164.5,168.44,166.7,1.74,1.0438,166931.82,2790070.935
48,000858.SZ,20230816,166.28,167.4,165.2,166.7,166.5,0.2,0.1201,116276.66,1937166.439
49,000858.SZ,20230815,168.61,168.9,165.69,166.5,168.62,-2.12,-1.2573,168144.67,2803400.143
50,000858.SZ,20230814,170.0,170.33,166.0,168.62,172.36,-3.74,-2.1699,210945.14,3548868.735
51,000858.SZ,20230811,177.46,177.55,172.27,172.36,176.31,-3.95,-2.2404,148886.27,2590746.331
52,000858.SZ,20230810,176.88,177.0,174.66,176.31,177.18,-0.87,-0.491,104237.85,1833070.604
53,000858.SZ,20230809,177.46,177.88,176.1,177.18,176.88,0.3,0.1696,86795.51,1536212.479
54,000858.SZ,20230808,176.18,178.06,175.18,176.88,177.31,-0.43,-0.2425,116143.22,2050696.313
55,000858.SZ,20230807,178.3,179.28,176.4,177.31,179.28,-1.97,-1.0988,156929.62,2784302.714
56,000858.SZ,20230804,181.39,182.5,178.7,179.28,178.6,0.68,0.3807,143477.61,2585669.217
57,000858.SZ,20230803,177.04,179.96,175.13,178.6,177.98,0.62,0.3484,152645.98,2712382.851
58,000858.SZ,20230802,179.0,180.99,177.2,177.98,179.88,-1.9,-1.0563,155080.19,2770075.424
59,000858.SZ,20230801,181.69,184.15,178.5,179.88,181.0,-1.12,-0.6188,195718.03,3543719.056
60,000858.SZ,20230731,186.6,188.57,180.98,181.0,181.18,-0.18,-0.0993,315593.53,5816020.903
61,000858.SZ,20230728,177.3,182.16,176.63,181.18,178.46,2.72,1.5242,319693.16,5753479.23
62,000858.SZ,20230727,178.97,180.85,176.85,178.46,177.8,0.66,0.3712,187987.06,3367125.65
63,000858.SZ,20230726,179.5,180.68,176.85,177.8,179.5,-1.7,-0.9471,174025.43,3104017.698
64,000858.SZ,20230725,176.0,180.67,175.17,179.5,169.36,10.14,5.9872,440631.94,7867658.288
65,000858.SZ,20230724,169.13,170.0,167.9,169.36,171.27,-1.91,-1.1152,131716.39,2222174.196
66,000858.SZ,20230721,169.88,174.0,167.88,171.27,168.56,2.71,1.6077,195386.88,3356305.157
67,000858.SZ,20230720,169.0,171.28,168.08,168.56,168.32,0.24,0.1426,127501.98,2163844.782
68,000858.SZ,20230719,167.82,168.76,166.81,168.32,168.4,-0.08,-0.0475,76855.51,1288284.983
69,000858.SZ,20230718,169.7,170.23,168.0,168.4,169.66,-1.26,-0.7427,81959.02,1381227.321
70,000858.SZ,20230717,170.5,170.98,168.16,169.66,171.99,-2.33,-1.3547,93256.75,1575729.874
71,000858.SZ,20230714,173.6,174.33,170.79,171.99,172.65,-0.66,-0.3823,150722.88,2594877.559
72,000858.SZ,20230713,167.88,173.0,166.65,172.65,165.46,7.19,4.3455,323513.6,5531880.616
73,000858.SZ,20230712,165.2,166.66,165.0,165.46,165.14,0.32,0.1938,118840.29,1970009.88
74,000858.SZ,20230711,165.45,165.76,163.88,165.14,164.6,0.54,0.3281,70205.62,1156564.822
75,000858.SZ,20230710,164.98,166.5,164.21,164.6,163.66,0.94,0.5744,96715.25,1597774.605
76,000858.SZ,20230707,164.19,165.0,163.32,163.66,164.3,-0.64,-0.3895,78969.85,1294178.678
77,000858.SZ,20230706,165.3,166.81,163.85,164.3,165.38,-1.08,-0.653,101449.77,1672166.188
78,000858.SZ,20230705,167.52,167.6,165.0,165.38,168.22,-2.84,-1.6883,115416.08,1911856.439
79,000858.SZ,20230704,167.0,168.5,165.55,168.22,167.36,0.86,0.5139,125957.42,2107039.768
80,000858.SZ,20230703,163.27,167.49,162.85,167.36,163.57,3.79,2.3171,173373.06,2875749.982
81,000858.SZ,20230630,164.7,165.1,162.8,163.57,163.81,-0.24,-0.1465,103370.54,1695951.752
82,000858.SZ,20230629,166.0,166.5,163.27,163.81,166.67,-2.86,-1.716,117723.52,1934965.472
83,000858.SZ,20230628,165.23,168.6,164.38,166.67,166.12,0.55,0.3311,119426.4,1990481.708
84,000858.SZ,20230627,164.17,166.5,162.2,166.12,162.88,3.24,1.9892,200679.06,3307807.251
85,000858.SZ,20230626,169.5,169.89,165.0,166.66,171.4,-4.74,-2.7655,219340.31,3652673.794
86,000858.SZ,20230621,173.99,174.89,171.2,171.4,174.01,-2.61,-1.4999,139484.5,2409049.47
87,000858.SZ,20230620,177.0,178.4,173.6,174.01,177.54,-3.53,-1.9883,178689.34,3129124.755
88,000858.SZ,20230619,183.0,183.71,176.5,177.54,184.08,-6.54,-3.5528,242341.72,4330534.593
89,000858.SZ,20230616,182.6,185.6,181.5,184.08,182.0,2.08,1.1429,216313.8,3975777.954
90,000858.SZ,20230615,179.21,182.82,178.0,182.0,177.68,4.32,2.4313,240450.09,4346343.723
91,000858.SZ,20230614,174.8,179.35,172.66,177.68,173.08,4.6,2.6577,241015.42,4279986.457
92,000858.SZ,20230613,170.0,173.9,169.41,173.08,170.41,2.67,1.5668,182936.46,3156768.739
93,000858.SZ,20230612,164.02,172.0,162.94,170.41,164.59,5.82,3.5361,241838.01,4073838.204
94,000858.SZ,20230609,164.94,165.98,163.8,164.59,164.82,-0.23,-0.1395,119635.17,1970427.702
95,000858.SZ,20230608,164.21,166.07,163.02,164.82,164.0,0.82,0.5,91572.82,1504742.545
96,000858.SZ,20230607,166.15,167.05,164.0,164.0,165.62,-1.62,-0.9781,95325.61,1574392.183
97,000858.SZ,20230606,166.3,168.43,164.53,165.62,165.2,0.42,0.2542,135367.64,2256103.842
98,000858.SZ,20230605,167.28,167.68,164.63,165.2,167.9,-2.7,-1.6081,113446.97,1879812.886
99,000858.SZ,20230602,165.0,168.4,163.33,167.9,163.32,4.58,2.8043,192083.97,3199284.099
100,000858.SZ,20230601,162.49,166.6,161.2,163.32,161.18,2.14,1.3277,169016.44,2774057.591
101,000858.SZ,20230531,165.0,165.13,160.02,161.18,165.17,-3.99,-2.4157,213448.41,3448000.885
102,000858.SZ,20230530,168.0,169.45,163.5,165.17,168.26,-3.09,-1.8364,183603.34,3039522.846
103,000858.SZ,20230529,170.94,171.85,167.58,168.26,170.1,-1.84,-1.0817,129768.8,2191774.954
104,000858.SZ,20230526,168.2,171.89,168.0,170.1,168.2,1.9,1.1296,122874.8,2088300.565
105,000858.SZ,20230525,169.42,169.68,167.45,168.2,170.35,-2.15,-1.2621,143925.25,2421836.659
106,000858.SZ,20230524,173.52,173.98,170.35,170.35,174.0,-3.65,-2.0977,133550.66,2297763.605
